"","TR"
"1371",4.29
"1372",4.31
"1373",4.32
"1374",4.34
"1375",4.31
"1376",4.31
"1377",4.3
"1378",4.27
"1379",4.23
"1380",4.26
"1381",4.25
"1382",4.27
"1383",4.26
"1384",4.26
"1385",4.3
"1386",4.31
"1387",4.32
"1388",4.33
"1389",4.36
"1390",4.37
"1391",4.38
"1392",4.38
"1393",4.37
"1394",4.4
"1395",4.38
"1396",4.37
"1397",4.4
"1398",4.41
"1399",4.42
"1400",4.42
"1401",4.46
"1402",4.48
"1403",4.46
"1404",4.47
"1405",4.45
"1406",4.42
"1407",4.39
"1408",4.4
"1409",4.4
"1410",4.34
"1411",4.35
"1412",4.37
"1413",4.4
"1414",4.39
"1415",4.37
"1416",4.32
"1417",4.31
"1418",4.34
"1419",4.33
"1420",4.32
"1421",4.31
"1422",4.31
"1423",4.31
"1424",4.3
"1425",4.3
"1426",4.32
"1427",4.35
"1428",4.31
"1429",4.31
"1430",4.32
"1431",4.34
"1432",4.35
"1433",4.36
"1434",4.36
"1435",4.34
"1436",4.32
"1437",4.32
"1438",4.34
"1439",4.35
"1440",4.32
"1441",4.27
"1442",4.24
"1443",4.22
"1444",4.21
"1445",4.17
"1446",4.18
"1447",4.22
"1448",4.2
"1449",4.24
"1450",4.21
"1451",4.17
"1452",4.17
"1453",4.19
"1454",4.24
"1455",4.23
"1456",4.23
"1457",4.21
"1458",4.18
"1459",4.18
"1460",4.19
"1461",4.2
"1462",4.24
"1463",4.28
"1464",4.28
"1465",4.31
"1466",4.31
"1467",4.31
"1468",4.3
"1469",4.32
"1470",4.35
"1471",4.34
"1472",4.32
"1473",4.32
"1474",4.35
"1475",4.37
"1476",4.37
"1477",4.4
"1478",4.4
"1479",4.43
"1480",4.45
"1481",4.45
"1482",4.48
"1483",4.55
"1484",4.57
"1485",4.55
"1486",4.59
"1487",4.58
"1488",4.59
"1489",4.59
"1490",4.59
"1491",4.65
"1492",4.65
"1493",4.63
"1494",4.64
"1495",4.68
"1496",4.67
"1497",4.64
"1498",4.65
"1499",4.72
"1500",4.72
"1501",4.7
"1502",4.73
"1503",4.73
"1504",4.77
"1505",4.79
"1506",4.85
"1507",4.89
"1508",4.86
"1509",4.84
"1510",4.85
"1511",4.87
"1512",4.82
"1513",4.8
"1514",4.81
"1515",4.85
"1516",4.87
"1517",4.89
"1518",4.86
"1519",4.89
"1520",4.88
"1521",4.95
"1522",4.85
"1523",4.79
"1524",4.79
"1525",4.81
"1526",4.81
"1527",4.85
"1528",4.87
"1529",4.86
"1530",4.85
"1531",4.81
"1532",4.77
"1533",4.78
"1534",4.83
"1535",4.85
"1536",4.9
"1537",4.91
"1538",4.89
"1539",4.94
"1540",4.98
"1541",4.97
"1542",4.97
"1543",4.99
"1544",5.02
"1545",5.05
"1546",5.05
"1547",5.06
"1548",5.09
"1549",5.13
"1550",5.19
"1551",5.15
"1552",5.19
"1553",5.24
"1554",5.24
"1555",5.23
"1556",5.24
"1557",5.29
"1558",5.3
"1559",5.29
"1560",5.27
"1561",5.27
"1562",5.29
"1563",5.3
"1564",5.32
"1565",5.42
"1566",5.45
"1567",5.46
"1568",5.52
"1569",5.48
"1570",5.51
"1571",5.5
"1572",5.52
"1573",5.48
"1574",5.5
"1575",5.49
"1576",5.54
"1577",5.59
"1578",5.59
"1579",5.53
"1580",5.53
"1581",5.48
"1582",5.4
"1583",5.38
"1584",5.49
"1585",5.5
"1586",5.55
"1587",5.55
"1588",5.58
"1589",5.59
"1590",5.69
"1591",5.71
"1592",5.71
"1593",5.75
"1594",5.71
"1595",5.68
"1596",5.7
"1597",5.7
"1598",5.71
"1599",5.66
"1600",5.55
"1601",5.54
"1602",5.54
"1603",5.6
"1604",5.59
"1605",5.57
"1606",5.6
"1607",5.62
"1608",5.61
"1609",5.59
"1610",5.61
"1611",5.55
"1612",5.52
"1613",5.53
"1614",5.59
"1615",5.58
"1616",5.67
"1617",5.7
"1618",5.77
"1619",5.81
"1620",5.84
"1621",5.83
"1622",5.79
"1623",5.8
"1624",5.77
"1625",5.8
"1626",5.8
"1627",5.69
"1628",5.66
"1629",5.7
"1630",5.71
"1631",5.79
"1632",5.8
"1633",5.77
"1634",5.77
"1635",5.76
"1636",5.81
"1637",5.78
"1638",5.83
"1639",5.87
"1640",5.86
"1641",5.88
"1642",5.91
"1643",5.94
"1644",5.96
"1645",5.95
"1646",5.78
"1647",5.69
"1648",5.73
"1649",5.73
"1650",5.73
"1651",5.64
"1652",5.54
"1653",5.57
"1654",5.59
"1655",5.59
"1656",5.59
"1657",5.63
"1658",5.64
"1659",5.62
"1660",5.66
"1661",5.57
"1662",5.54
"1663",5.57
"1664",5.56
"1665",5.54
"1666",5.55
"1667",5.56
"1668",5.56
"1669",5.57
"1670",5.57
"1671",5.66
"1672",5.72
"1673",5.77
"1674",5.79
"1675",5.81
"1676",5.81
"1677",5.8
"1678",5.86
"1679",5.86
"1680",5.87
"1681",5.83
"1682",5.92
"1683",5.93
"1684",5.92
"1685",5.93
"1686",5.85
"1687",5.86
"1688",5.94
"1689",5.87
"1690",5.81
"1691",5.79
"1692",5.77
"1693",5.52
"1694",5.42
"1695",5.43
"1696",5.42
"1697",5.44
"1698",5.45
"1699",5.45
"1700",5.51
"1701",5.53
"1702",5.55
"1703",5.47
"1704",5.47
"1705",5.42
"1706",5.46
"1707",5.5
"1708",5.51
"1709",5.51
"1710",5.53
"1711",5.52
"1712",5.56
"1713",5.55
"1714",5.54
"1715",5.55
"1716",5.54
"1717",5.61
"1718",5.62
"1719",5.61
"1720",5.56
"1721",5.55
"1722",5.56
"1723",5.62
"1724",5.61
"1725",5.62
"1726",5.63
"1727",5.67
"1728",5.73
"1729",5.73
"1730",5.76
"1731",5.78
"1732",5.79
"1733",5.78
"1734",5.78
"1735",5.79
"1736",5.8
"1737",5.79
"1738",5.72
"1739",5.75
"1740",5.71
"1741",5.59
"1742",5.59
"1743",5.67
"1744",5.75
"1745",5.78
"1746",5.8
"1747",5.8
"1748",5.82
"1749",5.81
"1750",5.91
"1751",5.92
"1752",5.91
"1753",5.87
"1754",5.87
"1755",5.83
"1756",5.86
"1757",5.8
"1758",5.78
"1759",5.79
"1760",5.82
"1761",5.78
"1762",5.76
"1763",5.81
"1764",5.79
"1765",5.73
"1766",5.75
"1767",5.77
"1768",5.72
"1769",5.69
"1770",5.67
"1771",5.77
"1772",5.91
"1773",5.94
"1774",6.01
"1775",6.06
"1776",6.09
"1777",6.14
"1778",6.14
"1779",6.19
"1780",6.25
"1781",6.25
"1782",6.31
"1783",6.3
"1784",6.27
"1785",6.39
"1786",6.32
"1787",6.3
"1788",6.39
"1789",6.42
"1790",6.4
"1791",6.4
"1792",6.46
"1793",6.46
"1794",6.55
"1795",6.6
"1796",6.59
"1797",6.55
"1798",6.48
"1799",6.54
"1800",6.51
"1801",6.59
"1802",6.71
"1803",6.71
"1804",6.71
"1805",6.71
"1806",6.66
"1807",6.67
"1808",6.7
"1809",6.69
"1810",6.71
"1811",6.7
"1812",6.72
"1813",6.8
"1814",6.85
"1815",6.85
"1816",6.8
"1817",6.86
"1818",6.85
"1819",6.88
"1820",6.85
"1821",6.82
"1822",6.9
"1823",6.91
"1824",6.94
"1825",7.01
"1826",7.06
"1827",7.07
"1828",7.05
"1829",7.06
"1830",6.98
"1831",6.82
"1832",6.87
"1833",6.88
"1834",6.91
"1835",7.04
"1836",7.07
"1837",6.98
"1838",6.98
"1839",6.89
"1840",6.88
"1841",6.74
"1842",6.57
"1843",6.68
"1844",6.75
"1845",6.73
"1846",6.84
"1847",6.75
"1848",6.73
"1849",6.62
"1850",6.61
"1851",6.64
"1852",6.68
"1853",6.76
"1854",6.75
"1855",6.77
"1856",6.89
"1857",6.9
"1858",6.89
"1859",6.88
"1860",6.85
"1861",6.87
"1862",6.88
"1863",6.89
"1864",6.75
"1865",6.71
"1866",6.58
"1867",6.54
"1868",6.58
"1869",6.61
"1870",6.75
"1871",6.76
"1872",6.8
"1873",6.8
